login,id,name,selected
automated-test-org-1,O_kgDOChqLdw,automated-test-org-1,yes
InfoMCopilot-KR,O_kgDODDEj4A, InfoMCopilot-KR,yes
InfoMGHAS-KR,O_kgDOCy2_Tw,InfoMGHAS-KR,yes
InfoMGHAS-KR-Exercises,O_kgDODoRtig,InfoMGHAS-KR-Exercises,yes
InfoMKalpanaDemo,O_kgDOB-g3_Q,InfoMKalpanaDemo,yes
InfoMMigrate-KR,O_kgDODaHGiA,InfoMMigrate-KR,yes
InfoMMigrations-KR,O_kgDODF-JcQ,InfoMMigrations-KR,yes
kalpana-gh-trainings,O_kgDOCf_CYg,kalpana-gh-trainings,yes
vyas-demo-3,O_kgDOC0Y05Q,vyas-demo-3,yes
vyas-demo001,O_kgDODq9JiA,vyas-demo001,yes
vyas-demo002,O_kgDODq-AnA,vyas-demo002,yes
